id,name,author,title,description,url,publishedAt,content
abc-news,ABC News,Mary Kekatos,"About 18 million US adults have had long COVID, CDC report finds","Two new CDC reports, published Tuesday, found that 6.9% of adults and 1.5% of children have had long COVID in the U.S.",https://abcnews.go.com/Health/18-million-us-adults-long-covid-cdc/story?id=103464362,2023-09-26T04:01:44Z,"Millions of Americans say they've had long COVID, and some say they're still battling it, according to new federal data.
Two new reports, published early Tuesday by the Centers for Disease Control a… [+3280 chars]"
new-scientist,New Scientist,Clare Wilson,Has the risk of getting long covid been overestimated?,Studies that failed to compare rates of long covid symptoms after infection with baseline rates in the population made the prevalence of the condition seem higher than it really is,https://www.newscientist.com/article/2393962-has-the-risk-of-getting-long-covid-been-overestimated/,2023-09-27T10:30:15Z,"Some people continue to experience symptoms long after a covid-19 infection
Jikaboom/iStockphoto/Getty Images
If you are infected with the coronavirus, how likely are you to develop long covid? It … [+5265 chars]"
abc-news,ABC News,ABC News,Tests may be able to identify prolonged COVID symptoms in the future: Scientists,Scientists say some tests may be able to identify the markers of prolonged COVID symptoms in the future.,https://abcnews.go.com/Health/scientists-tests-identify-markers-prolonged-covid-symptoms-future/story?id=103509942,2023-09-27T00:48:15Z,"While there is no specific test to determine if someone is experiencing long COVID, a new study published in Nature used blood tests to find new insight into what biological markers are associated wi… [+3470 chars]"
wired,Wired,Ashley Shew,Why Aren't Disabled Astronauts Exploring Space?,Journeying into the future will require embracing disability—and recognizing its power in our changing world.,https://www.wired.com/story/ashley-shew-disability-space-exploration/,2023-09-26T13:00:00Z,"Today, young people are becoming disabled in record numbers with all the various impacts of long Covid, which is estimated to affect between 8 and 25 percent of people who have been infected. The dis… [+4253 chars]"
new-york-magazine,New York Magazine,Digg Editors,The Mystery Of Long COVID Is Just The Beginning,"Lisa Sanders, the doctor-detective who made a name for herself writing about patients’ medical mysteries in her Diagnosis column, is confronting long COVID treatment at Yale’s new clinic. But what happens when the mystery is too difficult to solve?",http://nymag.com/intelligencer/article/long-covid-treatment-lisa-sanders.html,2023-08-29T12:23:58Z,"Lisa Sanders was at a large birthday party in New Haven in June 2022. It was an evening in late spring, lovely enough for the party to spill out onto the lawn. Sanders, an internal-medicine doctor at… [+30902 chars]"
ars-technica,Ars Technica,Beth Mole,Updated COVID boosters get green light from FDA ahead of CDC review,The fall boosters target XBB.1.5 and have shown effective against current variants.,https://arstechnica.com/health/2023/09/updated-covid-boosters-get-green-light-from-fda-ahead-of-cdc-review/,2023-09-11T21:38:45Z,"Enlarge/ The Food and Drug Administration headquarters in White Oak, Maryland.
4 with 
The Food and Drug Administration greenlit two updated COVID-19 vaccine booster shots Mondaya day before adviso… [+6012 chars]"
the-verge,The Verge,Amrita Khalid,How Afripods is trying to grow the podcast market in Africa,The Kenya-based podcast hosting and monetization platform is teaming up with radio stations throughout Africa.,https://www.theverge.com/2023/9/5/23859798/afripods-broadcast-to-podcast-kevin-brown-africa-podcast-market-hot-pod,2023-09-05T16:40:07Z,"How Afripods is trying to grow the podcast market in Africa
How Afripods is trying to grow the podcast market in Africa
 / A Kenya-based platform is striving to become the podcast player of choice … [+12962 chars]"
bbc-news,BBC News,https://www.facebook.com/bbcnews,Long Covid: MRI scans reveal new clues to symptoms,Further evidence emerges that a serious infection can leave some major organs with long-term damage.,https://www.bbc.co.uk/news/health-66890505,2023-09-22T23:50:20Z,"People living with long Covid after being admitted to hospital are more likely to show some damage to major organs, according to a new study. 
MRI scans revealed patients were three times more likel… [+3214 chars]"
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
cbs-news,CBS News,CBS News,"Nearly 9 million Americans have long COVID, CDC says",Reports published Tuesday by the Centers for Disease Control and Prevention say nearly 18 million Americans experienced symptoms of long COVID — when symptoms remain for at least four weeks after a patient has cleared the infection — in 2022 and nearly 9 mill…,https://www.cbsnews.com/video/long-covid-cdc-9-million-americans/,2023-09-27T13:57:00Z,"Watch CBS News
Copyright ©2023 CBS Interactive Inc. All rights reserved.
Get browser notifications for breaking news, live events, and exclusive reporting.
Not NowTurn On"
cnn,CNN,"Deidre McPhillips, CNN",It seems like everyone has Covid-19. Here’s why this wave is probably worse than official data suggests,"Covid-19 certainly didn’t take a vacation this summer. Virus levels in the US have been on the rise for weeks, but it’s hard to know exactly how widely it’s ...",https://www.cnn.com/2023/09/01/health/covid-case-data-wave/index.html,2023-09-01T11:41:06Z,"Covid-19 certainly didnt take a vacation this summer. Virus levels in the US have been on the rise for weeks, but its hard to know exactly how widely its spreading.
Federal data suggests that the cu… [+7437 chars]"
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
cbs-news,CBS News,Sara Moniuszko,"Long COVID has affected nearly 7% of U.S. adults, CDC survey data finds",The survey suggests nearly 18 million American adults have suffered from long COVID at some point since the pandemic began — and children can be affected too.,https://www.cbsnews.com/news/long-covid-americans-new-cdc-survey-data/,2023-09-26T17:32:05Z,"Millions of Americans report having long COVID, either previously or at the time of being surveyed, according to new data from the the Centers for Disease Control and Prevention's National Center for… [+3592 chars]"
usa-today,USA Today,Dana Taylor,Long COVID: What is it and why is it still a mystery? 5 Things podcast,"Dr. Francesca Beaudoin, Director of the Long COVID Initiative and Chair of the department of epidemiology at Brown University, joins 5 Things to explain.",https://www.usatoday.com/story/news/health/2023/09/08/long-covid-remains-a-mystery-5-things-podcast/70794150007/,2023-09-08T13:28:38Z,"On this special episode of the 5 Things podcast: In the beginning, people suffering from what is now called long COVID were forced into the shadows. Their symptoms - debilitating tiredness, lung issu… [+14579 chars]"
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
politico,Politico,Arek Sarkissian,"Florida surgeon general rejects FDA guidance, urges people under 65 not to get Covid booster",Previous guidance by Joe Ladapo has been widely rejected by the medical community.,https://www.politico.com/news/2023/09/13/florida-surgeon-general-fda-covid-booster-00115781,2023-09-13T22:21:20Z,"Previous guidance by Ladapo about Covid-19 vaccine safety has been widely rejected by the medical community. Daniel Salmon, director of the Institute for Vaccine Safety at Johns Hopkins University, s… [+4143 chars]"
bbc-news,BBC News,https://www.facebook.com/bbcnews,Brain fog after Covid linked to blood clots - study,A UK study links two proteins in the blood of hospital patients to thinking and memory problems.,https://www.bbc.co.uk/news/health-66658257,2023-08-31T15:19:21Z,"Blood clots in the brain or the lungs might explain some common symptoms of ""long Covid"", including brain fog and fatigue, a UK study suggests.
In the study, of 1,837 people admitted to hospital bec… [+2772 chars]"
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
usa-today,USA Today,"Jeanine Santucci, USA TODAY",What to know about COVID as hospitalizations go up and some places bring back masks,A late-summer wave of COVID-19 infections has driven up hospitalizations and deaths in recent weeks. Here's what to know about the current variants.,https://www.usatoday.com/story/news/nation/2023/09/02/covid-hospitalizations-go-up-what-to-know-about-current-variants/70737945007/,2023-09-02T09:05:01Z,"A late-summer uptick in COVID-19 infections, hospitalizations and deaths has some schools, hospitals and other businesses scrambling to keep illness from spreading.
The Centers for Disease Control a… [+5517 chars]"
the-irish-times,The Irish Times,,Long Covid study: Scans reveal multiple organ abnormalities months after infection,"People suffering with condition should feel hopeful that answers emerging in ongoing studies, says researcher",https://www.irishtimes.com/health/2023/09/23/long-covid-study-scans-reveal-multiple-organ-abnormalities-months-after-infection/,2023-09-23T10:13:24Z,A study looking at the longer-term impact of Covid-19 has found that nearly a third of patients who were admitted to hospital with the virus had abnormalities in multiple organs five months after inf… [+4326 chars]
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
nbc-news,NBC News,Erika Edwards,"A long Covid blood test is possible, new research suggests",Scientists can now spot key differences in the blood of people who have long Covid symptoms— and those who don't.,https://www.nbcnews.com/health/health-news/long-covid-differences-blood-test-study-finds-rcna116871,2023-09-25T15:01:29Z,"More than three years into the pandemic, the millions of people who have suffered from long Covid finally have scientific proof that their condition is real. 
Scientists have found clear differences… [+4595 chars]"
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
cbc-news,CBC News,,"Rapid tests are less accessible even as COVID wave ramps up across Canada, doctors say","Some people are having a hard time finding rapid tests in rural and urban communities across Canada. Amid a spike in COVID-19 cases this fall, doctors say accessible availability of tests and better communication from public health officials is key to keeping…",https://www.cbc.ca/news/health/rapid-tests-less-accessible-1.6980369,2023-09-28T08:00:00Z,"A couple of weeks ago, Andrew Longhurst and his family started to feel worse for wear. 
Wanting to test themselves for COVID-19, Longhurst, who lives with his wife and four-year-old son in Roberts C… [+6970 chars]"
abc-news-au,ABC News (AU),Evan Young,Most people know this illness as 'chronic fatigue'. But Dee says that doesn't 'begin to describe' the reality,"People with myalgic encephalomyelitis, also known as chronic fatigue syndrome, say society has long underestimated and downplayed their struggles. They share what their lives are really like.",https://www.abc.net.au/news/2023-09-09/why-mecfs-is-nothing-like-everyday-fatigue/102776070,2023-09-08T21:05:04Z,"There's a saying in the myalgic encephalomyelitis community that it's ""hard to say, but harder to live with"".
Key points:
<ul><li>Australians with ME/CFS battle symptoms much more severe than other… [+7068 chars]"
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
,[Removed],,[Removed],[Removed],https://removed.com,1970-01-01T00:00:00Z,[Removed]
medical-news-today,Medical News Today,Robby Berman,Long COVID: Can creatine supplements help improve fatigue?,"Creatine supplements may help improve a range of long COVID symptoms, including fatigue, aches, and loss of taste, a new study suggests.",https://www.medicalnewstoday.com/articles/can-creatine-supplements-help-people-with-long-covid,2023-09-26T14:45:49Z,"<ul><li>Dietary creatine may improve the fatigue associated with long COVID and other symptoms, according to a small new study.</li><li>Creatinenowadays often used as a workout supplementplays an imp… [+5780 chars]"
bbc-news,BBC News,https://www.facebook.com/bbcnews,Critically ill UK teen in legal fight with NHS,"The 19-year-old wants to seek an experimental treatment abroad, but doctors say she needs end-of-life care.",https://www.bbc.co.uk/news/health-66673511,2023-09-01T08:20:16Z,"A critically ill 19-year-old and her family are fighting the NHS in court over plans to stop more treatment and proceed instead with end-of-life care. 
The former A-level student wants to go to Cana… [+3179 chars]"
