"","artist_name","instrumentalness","valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","track_id","album_name","album_release_year","album_release_date","popularity"
"1","Drake",0,0.2,0.402,0.514,-7.322,0.0471,0.106,0.181,120.009,"Virginia Beach","6YV2AI87l1n2fzqU8Dyo05","For All The Dogs Scary Hours Edition",2023,"2023-11-17",83
"2","Drake",0,0.309,0.646,0.605,-7.59,0.188,0.0636,0.253,90.156,"Amen (feat. Teezo Touchdown)","59ZmQR4pwCaa5iM3veM7Cs","For All The Dogs Scary Hours Edition",2023,"2023-11-17",83
"3","Drake",0,0.104,0.571,0.55,-6.567,0.106,0.0548,0.179,120.947,"Calling For You (feat. 21 Savage)","2R30S0W4JCM9JaQWlpmeWn","For All The Dogs Scary Hours Edition",2023,"2023-11-17",81
"4","Drake",0,0.0658,0.697,0.32,-9.347,0.214,0.0127,0.18,136.976,"Fear Of Heights","6LFW4dEsLeiGluniXRgVYr","For All The Dogs Scary Hours Edition",2023,"2023-11-17",86
"5","Drake",0,0.0667,0.566,0.564,-7.88,0.277,0.0149,0.104,139.92,"Daylight","1us5wNgZc0YLT8RQQs2Q7L","For All The Dogs Scary Hours Edition",2023,"2023-11-17",85
"6","Drake",0,0.245,0.475,0.655,-7.342,0.33,0.0306,0.375,163.997,"First Person Shooter (feat. J. Cole)","6xIsHPRHdbzU6UMVFn4wh8","For All The Dogs Scary Hours Edition",2023,"2023-11-17",84
"7","Drake",0.000284,0.14,0.673,0.672,-8.577,0.224,0.0466,0.193,136.902,"IDGAF (feat. Yeat)","2uvBprdlMpzeN5Bq0PzMBI","For All The Dogs Scary Hours Edition",2023,"2023-11-17",88
"8","Drake",0,0.325,0.487,0.49,-9.373,0.0649,0.554,0.126,141.389,"7969 Santa","0pdMOh52apEWAS1xELJY7Q","For All The Dogs Scary Hours Edition",2023,"2023-11-17",88
"9","Drake",0,0.105,0.483,0.408,-9.243,0.0502,0.508,0.259,88.88,"Slime You Out (feat. SZA)","4gQBXN2GBRpemMuxg5y3h9","For All The Dogs Scary Hours Edition",2023,"2023-11-17",86
"10","Drake",1.31e-05,0.369,0.626,0.309,-10.397,0.0433,0.85,0.117,117.94,"Bahamas Promises","3nHat22UwPywIevUrXIhy1","For All The Dogs Scary Hours Edition",2023,"2023-11-17",87
"11","Drake",0,0.231,0.57,0.295,-13.693,0.0445,0.837,0.167,84.139,"Tried Our Best","5BTu8L170anjdgSohdBkkv","For All The Dogs Scary Hours Edition",2023,"2023-11-17",95
"13","Drake",0,0.147,0.709,0.377,-11.327,0.219,0.334,0.176,127.921,"Drew A Picasso","7jKNxYzPFGDWEemcRVebLb","For All The Dogs Scary Hours Edition",2023,"2023-11-17",91
"14","Drake",0,0.176,0.647,0.34,-8.795,0.0496,0.245,0.107,91.998,"Members Only (feat. PARTYNEXTDOOR)","7uHF03xE84sQ5PicRNH3yu","For All The Dogs Scary Hours Edition",2023,"2023-11-17",84
"15","Drake",0,0.473,0.832,0.555,-7.766,0.116,0.0506,0.213,95.618,"What Would Pluto Do","4e0uZkMYa8e8HJ5TEUN417","For All The Dogs Scary Hours Edition",2023,"2023-11-17",82
"16","Drake",0,0.226,0.572,0.406,-10.081,0.308,0.543,0.0982,125.019,"All The Parties (feat. Chief Keef)","04BF53Rb6LOpDUJG518IqS","For All The Dogs Scary Hours Edition",2023,"2023-11-17",88
"17","Drake",0,0.668,0.567,0.682,-6.423,0.274,0.643,0.512,79.043,"8am in Charlotte","1dKXBUKx7oCB2UXlkihNn8","For All The Dogs Scary Hours Edition",2023,"2023-11-17",78
"18","Drake",0,0.574,0.502,0.391,-9.013,0.0428,0.845,0.112,132.819,"BBL Love - Interlude","4bF4MxTGnNj8dTW0LZmAx5","For All The Dogs Scary Hours Edition",2023,"2023-11-17",84
"19","Drake",0.000182,0.241,0.868,0.452,-6.825,0.304,0.0481,0.133,107.538,"Gently (feat. Bad Bunny)","3BE3IYsAhqkTiRIR7T7x7M","For All The Dogs Scary Hours Edition",2023,"2023-11-17",80
"20","Drake",0,0.141,0.636,0.729,-4.495,0.055,0.0458,0.384,146.009,"Rich Baby Daddy (feat. Sexyy Red & SZA)","2DSy4HfDQoBsPPcRSoeM16","For All The Dogs Scary Hours Edition",2023,"2023-11-17",77
"21","Drake",0,0.282,0.702,0.71,-5.003,0.0459,0.0144,0.144,158.129,"Another Late Night (feat. Lil Yachty)","6N7CsPNdryWPtG5CTmCHpx","For All The Dogs Scary Hours Edition",2023,"2023-11-17",79
"22","Drake",0,0.226,0.848,0.625,-7.64,0.0587,0.0195,0.109,93.019,"Away From Home","2QThr0NmKP43AbPOrW2cDl","For All The Dogs Scary Hours Edition",2023,"2023-11-17",83
"23","Drake",3.37e-06,0.343,0.44,0.274,-14.464,0.0809,0.0924,0.128,76.513,"Polar Opposites","1GZJGEId948OqKmf24ubj5","For All The Dogs Scary Hours Edition",2023,"2023-11-17",99
"24","Drake",0,0.393,0.455,0.707,-5.765,0.179,0.155,0.132,114.47,"Red Button","5Mc8XDfGQCMkOEZm9rS1cE","For All The Dogs Scary Hours Edition",2023,"2023-11-17",80
"25","Drake",7.12e-05,0.846,0.65,0.839,-4.428,0.18,0.572,0.219,87.39,"Stories About My Brother","0ZB5pdrM1leH58IgokDPZM","For All The Dogs Scary Hours Edition",2023,"2023-11-17",75
"26","Drake",0,0.652,0.354,0.79,-6.758,0.329,0.291,0.309,74.179,"The Shoe Fits","2Mph2Rvl5kVg0MYtfV60wZ","For All The Dogs Scary Hours Edition",2023,"2023-11-17",82
"27","Drake",0,0.52,0.476,0.926,-6.623,0.48,0.353,0.224,86.252,"Wick Man","4ASBfwBwwo7DTT2zq9YSLP","For All The Dogs Scary Hours Edition",2023,"2023-11-17",83
"28","Drake",0,0.25,0.56,0.784,-5.304,0.301,0.0508,0.221,78.161,"Evil Ways (feat. J. Cole)","2ut4BOQSqxLpcX5MtPjzYa","For All The Dogs Scary Hours Edition",2023,"2023-11-17",79
"29","Drake",0,0.276,0.465,0.7,-5.163,0.0893,0.203,0.299,120.854,"You Broke My Heart","5Se32hEA9raeboZerywxka","For All The Dogs Scary Hours Edition",2023,"2023-11-17",78
"30","Drake",0,0.2,0.402,0.514,-7.322,0.0471,0.106,0.181,120.009,"Virginia Beach","3eP13S8D5m2cweMEg3ZDed","For All The Dogs",2023,"2023-10-06",85
"31","Drake",0,0.309,0.646,0.605,-7.59,0.188,0.0636,0.253,90.156,"Amen (feat. Teezo Touchdown)","0Mrnt1YqVuW2bqmwu4VxDt","For All The Dogs",2023,"2023-10-06",83
"32","Drake",0,0.104,0.571,0.55,-6.567,0.106,0.0548,0.179,120.947,"Calling For You (feat. 21 Savage)","2nibvvDdAQkVraYP00z2RS","For All The Dogs",2023,"2023-10-06",81
