long,lat,year,TimePeriod,RCP,scenario,treecanopy,Ann_Herb,Bare,Herb,Litter,Shrub,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,PPT_Annual,T_Winter,T_Summer,T_Annual,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.0472,37.60413,2021,NT,4.5,sc22,0,0,84,5,11,7,,,,,,5.94,6.37,6.37,1.630333,24.50402,24.50402,36.89,,,,,
-110.0472,37.60413,2021,NT,4.5,sc22,0,0,84,5,11,7,0.0,3.24222961485926,36.314,73.0,0.0929865126764498,,,,,,,,-12.77,0.114651809187993,0.0787639890747966,0.0435142641684882,0.051281006900322
-110.0472,37.60413,2021,NT,4.5,sc23,0,0,84,5,11,7,,,,,,6.44,3.09,3.09,1.389056,24.11043,24.11043,37.95,,,,,
-110.0472,37.60413,2021,NT,4.5,sc23,0,0,84,5,11,7,0.0,2.40161146564499,36.51,71.0,0.0001057891681579,,,,,,,,-18.96,0.130221068725453,0.0964121637425706,0.0412322080571323,0.0922413330204378
-110.0472,37.60413,2021,NT,4.5,sc24,0,0,84,5,11,7,,,,,,5.35,5.32,6.87,-0.3343889,25.54266,10.31321,37.74,,,,,
-110.0472,37.60413,2021,NT,4.5,sc24,0,0,84,5,11,7,0.0,2.68178788439005,37.398,87.0,0.0260979933295846,,,,,,,,-16.23,0.077885616684477,0.086245932665731,0.0421038833047434,0.0743210947689288
-110.0472,37.60413,2021,NT,4.5,sc25,0,0,84,5,11,7,,,,,,11.26,5.47,5.77,0.2397222,24.67777,14.10902,38.19,,,,,
-110.0472,37.60413,2021,NT,4.5,sc25,0,0,84,5,11,7,0.0,3.11969414961874,36.742,84.0,0.004468847624857,,,,,,,,-14.65,0.119738517509361,0.0864375504154665,0.0416645959792825,0.0429536455409002
-110.0472,37.60413,2021,NT,4.5,sc26,0,0,84,5,11,7,,,,,,7.22,1.44,1.44,0.9209444,25.89082,25.89082,38.06,,,,,
-110.0472,37.60413,2021,NT,4.5,sc26,0,0,84,5,11,7,0.0,1.17570976311005,37.263,81.0,5.57750080558509e-05,,,,,,,,-14.71,0.115214397444551,0.0981528484052229,0.0408456714917598,0.0453118125800604
-110.0472,37.60413,2021,NT,4.5,sc27,0,0,84,5,11,7,,,,,,9.13,4.62,,-1.829167,24.64592,,36.31,,,,,
-110.0472,37.60413,2021,NT,4.5,sc27,0,0,84,5,11,7,0.0,2.25409321221193,35.824,81.0,0.0450806567610822,,,,,,,,-23.58,0.0642770166590226,0.0864959659431054,0.0421368874725819,0.0673329783320405
-110.0472,37.60413,2021,NT,4.5,sc28,0,0,84,5,11,7,,,,,,7.46,3.54,3.12,1.264056,23.51821,11.87641,36.88,,,,,
-110.0472,37.60413,2021,NT,4.5,sc28,0,0,84,5,11,7,,,,,,7.46,3.54,3.12,1.264056,23.51821,23.51821,36.88,,,,,
-110.0472,37.60413,2021,NT,4.5,sc28,0,0,84,5,11,7,,,,,,7.46,3.54,3.54,1.264056,23.51821,11.87641,36.88,,,,,
-110.0472,37.60413,2021,NT,4.5,sc28,0,0,84,5,11,7,,,,,,7.46,3.54,3.54,1.264056,23.51821,23.51821,36.88,,,,,
-110.0472,37.60413,2021,NT,4.5,sc28,0,0,84,5,11,7,0.0,2.2722005759601,36.263,72.0,0.0006969126723473,,,,,,,,-11.05,0.121805534000133,0.0812812963770755,0.041397716198775,0.0601217131406107
-110.0472,37.60413,2021,NT,4.5,sc29,0,0,84,5,11,7,,,,,,6.54,11.2,6.54,1.313667,23.21864,1.313667,34.91,,,,,
-110.0472,37.60413,2021,NT,4.5,sc29,0,0,84,5,11,7,0.0,4.41953409017423,34.311,71.0,0.170480615773545,,,,,,,,-16.95,0.0769413159159044,0.0740123833559801,0.0455689302133558,0.0468941606825857
-110.0472,37.60413,2021,NT,4.5,sc30,0,0,84,5,11,7,,,,,,6.16,10.55,,0.9275556,21.53522,,34.45,,,,,
-110.0472,37.60413,2021,NT,4.5,sc30,0,0,84,5,11,7,0.0,5.13549862522559,33.516,74.0,0.0935126056536547,,,,,,,,-13.74,0.122042210441913,0.0945377866061314,0.0439816413838211,0.0442486315795457
-110.0472,37.60413,2021,NT,4.5,sc31,0,0,84,5,11,7,,,,,,11.92,6.2,18.81,4.041111,24.35891,12.28659,35.48,,,,,
-110.0472,37.60413,2021,NT,4.5,sc31,0,0,84,5,11,7,0.0,3.49855911643135,35.226,46.0,0.0247880356736858,,,,,,,,-7.89,0.13446070753383,0.104618674269285,0.0422262188175947,0.108619337445878
-110.0472,37.60413,2021,NT,4.5,sc32,0,0,84,5,11,7,,,,,,3.96,3.71,,0.7305,24.99908,,38.68,,,,,
-110.0472,37.60413,2021,NT,4.5,sc32,0,0,84,5,11,7,0.0,2.55422692199557,36.837,76.0,0.0001765580445903,,,,,,,,-20.42,0.121300843186393,0.0699342005784774,0.0414090346822544,0.0900898604114887
-110.0472,37.60413,2021,NT,4.5,sc33,0,0,84,5,11,7,,,,,,1.71,4.78,1.71,0.5327222,23.50429,0.5327222,37.02,,,,,
-110.0472,37.60413,2021,NT,4.5,sc33,0,0,84,5,11,7,0.0,2.70264005752216,35.964,79.0,0.0143271088850821,,,,,,,,-16.98,0.0466168509828199,0.0419905434077308,0.0418202256082933,0.0761652304534778
-110.0472,37.60413,2021,NT,4.5,sc34,0,0,84,5,11,7,,,,,,1.01,3.88,,1.589833,24.48821,,36.82,,,,,
